userrole,uid,applicationrole
aai_arm_user,Partners-AAI-Arm-User,Partners-Admin-AAI-ARM-Admin
aai_arm_user,Partners-AAI-Arm-User-TRN,Partners-Admin-AAI-ARM-Admin-TRN
aai_external_assessor,Partners-AAI-External-Assessor,Partners-Admin-AAI-ARM-Admin
aai_external_assessor_admin,Partners-AAI-External-Assessor-Admin,Partners-Admin-AAI-ARM-Admin
aai_external_assessor_admin,Partners-AAI-External-Assessor-Admin-TRN,Partners-Admin-AAI-ARM-Admin-TRN
aai_external_assessor,Partners-AAI-External-Assessor-TRN,Partners-Admin-AAI-ARM-Admin-TRN
aai_external_motor_salvage,Partners-AAI-External-Motor-Salvage,Partners-Admin-AAI-ARM-Admin
aai_external_motor_salvage,Partners-AAI-External-Motor-Salvage-TRN,Partners-Admin-AAI-ARM-Admin-TRN
aai_nzaa,Partners-AAI-NZAA,Partners-Admin-AAI-NZAA-Admin
aai_nzaa,Partners-AAI-NZAA-TRN,Partners-Admin-AAI-NZAA-Admin-TRN
aai_repairer,Partners-AAI-Repairer,Partners-Admin-AAI-ARM-Admin
aai_repairer,Partners-AAI-Repairer-TRN,Partners-Admin-AAI-ARM-Admin-TRN
AUTOSURE_DEALER,Partners-Autosure-Dealer,Partners-Admin-Autosure
AUTOSURE_USER,Partners-Autosure-User,Partners-Admin-Autosure
BENSAS_USER,Partners-BENSAS-Users,Partners-Admin-BENSAS
boss-aggregators,Partners-BOSS-Aggregators,Partners-Admin-BOSS
Broker,Partners-BOSS-Broker,Partners-Admin-BOSS
CommissionsOfficer,Partners-BOSS-CommissionsOfficer,Partners-Admin-BOSS
boss-staff,Partners-BOSS-Staff,Partners-Admin-BOSS
amp_broker,Partners-ClaimsOnline-AMP-Broker,Partners-Admin-Claimsonline-User
claimtype_all,Partners-Claimsonline-ClaimtypeAll,Partners-Admin-Claimsonline-User
claimtype_healthliability,Partners-Claimsonline-ClaimtypeHealthliability,Partners-Admin-Claimsonline-User
claimtype_liability,Partners-Claimsonline-ClaimtypeLiability,Partners-Admin-Claimsonline-User
claimtype_misc,Partners-Claimsonline-ClaimtypeMisc,Partners-Admin-Claimsonline-User
claimtype_motor,Partners-Claimsonline-ClaimtypeMotor,Partners-Admin-Claimsonline-User
claimtype_property,Partners-Claimsonline-ClaimtypeProperty,Partners-Admin-Claimsonline-User
claimsonline-default,Partners-ClaimsOnline-Default,Partners-Admin-Claimsonline-User
gio_broker,Partners-ClaimsOnline-GIO-Broker,Partners-Admin-Claimsonline-User
suncorp_broker,Partners-ClaimsOnline-Suncorp-Broker,Partners-Admin-Claimsonline-User
tmf_agent,Partners-ClaimsOnline-TMF-Broker,Partners-Admin-Claimsonline-User
vero_broker,Partners-ClaimsOnline-Vero-Broker,Partners-Admin-Claimsonline-User
CTP_EXTRANET_AGENT_AMP,Partners-CTP-Extranet-Agent-AMP,Partners-Admin-CTP-Extranet
CTP_EXTRANET_DEALER_GIO,Partners-CTP-Extranet-Dealer-GIO,Partners-Admin-CTP-Extranet
CTP_EXTRANET_LEASING_AGENT_GIO,Partners-CTP-Extranet-Leasing-Agent-GIO,Partners-Admin-CTP-Extranet
drupal-aconnect-advisors,Partners-Drupal-Aconnect-Advisors,Partners-Admin-Aconnect
drupal-aconnect-technical-services,Partners-Drupal-Aconnect-Technical-Services,Partners-Admin-Aconnect
drupal-advisergateway-adviser,Partners-Drupal-AdviserGateway-Adviser,Partners-Admin-AdviserGateway
drupal-advisergateway-gid,Partners-Drupal-AdviserGateway-GID,Partners-Admin-AdviserGateway
drupal-vc-external,Partners-Drupal-VC-External,Partners-WCOnline-Admin
ELIFE_ADVISER,Partners-eLife-Advisor,Partners-Admin-Elife
ELIFE_ADVISERPA,Partners-eLife-AdvisorPA,Partners-Admin-Elife
ELIFE_DEALER,Partners-eLife-Dealer,Partners-Admin-Elife
ELIFE_DEALERADMIN,Partners-eLife-DealerAdmin,Partners-Admin-Elife
ELIFE_RESEARCHER,Partners-eLife-Researcher,Partners-Admin-Elife
ELIFE_TELEINTERVIEWER,Partners-eLife-TeleInterviewer,Partners-Admin-Elife
idp-vero,Partners-IDP-Vero,Partners-Admin-IDP
ipd-resilium,Partners-IPD-Resilium,Partners-Admin-IDP
motor-dealer-sun,Partners-Motor-Dealer,Partners-Admin-LSP
motor-dealer-sun,Partners-Motor-Dealer-TRN,Partners-Admin-LSP-TRN
Ozdocs,Partners-Ozdocs,Partners-Admin-Ozdocs
PNETWebserviceUser,Partners-PNETWebserviceUser,Service-PNET-SPML
PNETWebUser,Partners-PNETWebUser,Service-PNET-SPML
racqi-default,Partners-RACQI-Default,Partners-Admin-RACQI
reform2-default,Partners-Reform2-Default,Partners-Admin-VeroCentral-User
SecureFP-Users,Partners-SecureFP-User,Partners-Admin-SecureFP
amp_brand,Partners-Suncentral-AMPUser,Partners-Admin-Suncentral-User
aon_co_brand,Partners-Suncentral-AONUser,Partners-Admin-Suncentral-User
austbrokers_co_brand,Partners-Suncentral-AUSTBrokersUser,Partners-Admin-Suncentral-User
suncentral-default,Partners-Suncentral-Default,Partners-Admin-Viper-User
suncorp_brand,Partners-Suncentral-SuncorpUser,Partners-Admin-Suncentral-User
suncentral-test,Partners-Suncentral-Test,Partners-Admin-Suncentral-User
vero_brand,Partners-Suncentral-VeroUser,Partners-Admin-Viper-User
assessor,Partners-VAMP-Assessor,Service-VAMP-SPML
vamp-primary-vendor,Partners-VAMP-Primary-Vendor,Service-VAMP-SPML
vendor,Partners-VAMP-Vendor,Service-VAMP-SPML
viper_broker,Partners-Viper-Broker,Partners-Admin-Viper-User
viper-default,Partners-Viper-Default,Partners-Admin-Viper-User
vmecert_user,Partners-vmecert-user,Partners-Admin-VeroMarine
vmpg_user,Partners-vmpg-user,Partners-Admin-VeroMarine
admin,Partners-VOL-Admin,Service-VeroOnline-SPML
amp_agent_aqua,Partners-VOL-AMP-Agent-Aqua,Service-VeroOnline-SPML
amp_broker_enquiry,Partners-VOL-AMP-Broker-Enquiry,Service-VeroOnline-SPML
amp_broker_toolkit,Partners-VOL-AMP-Broker-Toolkit,Service-VeroOnline-SPML
amp_user,Partners-VOL-AMP-User,Service-VeroOnline-SPML
anz_user,Partners-VOL-ANZ-User,Service-VeroOnline-SPML
anz_validator_user,Partners-VOL-ANZ-Validator-User,Service-VeroOnline-SPML
cl_broker,Partners-VOL-CL-Broker,Service-VeroOnline-SPML
delegated_admin,Partners-VOL-Delegated-Admin,Service-VeroOnline-SPML
nat_user,Partners-VOL-NAT-User,Service-VeroOnline-SPML
pggwa_broker,Partners-VOL-PGGWA-Broker,Service-VeroOnline-SPML
rural_user,Partners-VOL-Rural-User,Service-VeroOnline-SPML
underwriter,Partners-VOL-Underwriter,Service-VeroOnline-SPML
vero_agent_aqua,Partners-VOL-Vero-Agent-Aqua,Service-VeroOnline-SPML
vero_broker,Partners-VOL-Vero-Broker,Service-VeroOnline-SPML
vero_broker_enquiry,Partners-VOL-Vero-Broker-Enquiry,Service-VeroOnline-SPML
vero_broker_toolkit,Partners-VOL-Vero-Broker-Toolkit,Service-VeroOnline-SPML
wcl_external_user,Partners-VOL-Vero-WCL,Service-VeroOnline-SPML
wcmaAdmin,Partners-wcma-Admin,Partners-Admin-wcma-User
wcmaUser,Partners-wcma-Default,Partners-Admin-wcma-User
wcmaSupport,Partners-wcma-Support,Partners-Admin-wcma-User
wconline_amp,Partners-WCOnline-AMP,Partners-WCOnline-Admin
wconline_amp,Partners-WCOnline-AMP-FM,Partners-WCOnline-Admin
wconline_vero,Partners-WCOnline-VERO,Partners-WCOnline-Admin
